,nombre,orden,familia,genus,nombre_comun,conservacion,invasivo,taxonConceptID,nombre2,subgenus,taxonRank
136,Coccothraustes coccothraustes,Passeriformes,Fringillidae,Coccothraustes,Hawfinch,1,0,2494329.0,,,species
137,Oenanthe oenanthe,Passeriformes,Muscicapidae,Oenanthe,Northern Wheatear,0,0,5231240.0,,,species
138,Iduna opaca,Passeriformes,Acrocephalidae,Iduna,Western Olivaceous Warbler,0,0,5739355.0,Hippolais opaca,,species
139,Galerida theklae,Passeriformes,Alaudidae,Galerida,Thekla's Lark,0,0,9330514.0,,,species
140,Pernis apivorus,Accipitriformes,Accipitridae,Pernis,European Honey-Buzzard,0,0,2480420.0,,,species
141,Hippolais polyglotta,Passeriformes,Acrocephalidae,Hippolais,Melodious Warbler,0,0,2493214.0,,,species
142,Otus scops,Strigiformes,Strigidae,Otus,Eurasian Scops Owl,0,0,2497701.0,,,species
143,Tyto alba,Strigiformes,Tytonidae,Tyto,Western Barn Owl,0,0,2497921.0,,,species
144,Apus pallidus,Apodiformes,Apodidae,Apus,Gråsejler,1,0,5228695.0,,,species
145,Dryobates minor,Piciformes,Picidae,Dryobates,Lille Flagspætte,0,0,9015784.0,Dendrocopos minor,,species
146,Porphyrio porphyrio,Gruiformes,Rallidae,Porphyrio,Western Swamphen,0,0,2474416.0,,,species
147,Recurvirostra avosetta,Charadriiformes,Recurvirostridae,Recurvirostra,Klyde,0,0,2480259.0,,,species
148,Thalasseus sandvicensis,Charadriiformes,Laridae,Thalasseus,Sandwich Tern,0,0,2481240.0,Sterna sandvicensis,,species
149,Riparia riparia,Passeriformes,Hirundinidae,Riparia,Bank Swallow,0,0,2489160.0,,,species
150,Streptopelia roseogrisea,Columbiformes,Columbidae,Streptopelia,African Collared Dove,0,1,2495688.0,,,species
151,Cygnus olor,Anseriformes,Anatidae,Cygnus,Mute Swan,0,0,2498343.0,,,species
152,Aegypius monachus,Accipitriformes,Accipitridae,Aegypius,Cinereous Vulture,1,0,5229165.0,,,species
